,review_id,app_id,review_text,label
0,138198607,1277920,"although this game still needs some work it has a lot of potential, however i would wait before putting any real money towards it.",1
0,138198396,1277920,"It still is not playable.  It has been two weeks.  The only consistent thing now is that they can take your money for a subscription but the servers crash every two minutes.  The project is dead.  Either they are too cheap to use the players money to give good servers, or its a scam.  I have been apart of tons of MMO launches over the years and problems happen, but these guys take days to communicate the issues, and this is just unprofessional.  They need to call the game and alpha and do a few stress test over the next few months.  Don't play in its current state.",0
0,138235603,1277920,"If they keep at it the way they have so far, then they will get their footing. And to those who feel its too soon and don't want to stick around then that's your prerogative. Come back after you feel its baked long enough hopefully we will see you then.",1
0,138236287,1669000,"Age of Wonders 3 on steroids. 
",1
0,138236059,1669000,Just... one more turn okay,1
0,138235811,1669000,"I was stuck on civilization for a long time, and needed something new. I am a fan of World of Warcraft and Warhammer but I wanted something different. I stumbled upon this game while looking for a new Turn Base Strategy. So far I have not been able to stop playing it. 

Customizing your ruler is awesome. making your banner with color option, insignia options is just a refreshing. Warhammer I understand follows a ""Lore"" but I like being my own story and settling where I want. This game allows me to do just that. The tomes are an awesome research tool and so fun to go through them all. This game doesnt make me feel pressured, when someone declares war I dont feel like I have to struggle to get units to get ready or anything. This game is awesome all the way around. Cannot wait for the expansions.",1
0,138235741,1669000,First time agreeing with the reviews in a long time. Buying the dlc too,1
0,138236247,2272420,second easiest 100% i got,1
0,138233648,2272420,cant wait for the full game,1
0,138235383,1566200,Great game and i don't even know what's going on in hockey,1
0,138233754,1566200,Fun game! It's Roguelite elements can send you on a path to greatness or it can send you to the showers quickly. I can't wait to see what they add during early access. Thanks for great Hockey on the PC!,1
0,138235556,1494420,This game might be the best Fps I've seen it has a lot of potential a could even be the best and I'm pretty sure this game was also made by a solo Dev.,1
0,138234683,2337630,"Tackling is absolutely broke, I cannot lay a tackle. And if there is an opponent within 3m of you when kicking, you do a pathetic little dribble. Fix it.",0
0,138235544,1824960,vedy vedy good,1
0,138236408,2325900,Its ok for free,1
0,138236700,2311190,"no run
",1
0,138235381,2311190,devs should go to hell for making this a 3rd time,0
0,138235184,2311190,there were 2 parts that were hard,1
0,138236116,1742020,"Easy to pick up and very fun for both competitive and casual!
Love this game",1
0,138235936,1742020,"As a HOLOLIVE fan I am happy!
If you not into HOLOLIVE you can still play and enjoy this free fighting game. 
Can't wait for new character updateds!
",1
0,138235923,1742020,yes,1
0,138235975,1940340,"Overall I've found the game to be a disappointment. The flow of the first game has been abandoned for a Hades-esque format where you're in a constant restart loop. Instead of the first game where you are simply dropped in and left to figure it out you are now spoon fed access to everything on a slow drip as EVERYTHING is gated behind shops to be unlocked. 

The maps themselves are also a huge step backwards. The suspense of each unscouted tile being a trap or encounter as you inch forward is gone. There is exactly one event between ""rooms"" now and you always have a choice between paths now. Because there are no true surprises waiting for you you spend a lot of time just waiting for your cart to plod down the path. I find a large part of the gameplay is just spent waiting and wishing I had a turbo button to get through the constant repetition. All the fun dialogue and character interactions to take the edge off of the repetition in Hades is completely absent here. 

I've generally found the UI to be a mess. From the outset I was just met with confusion. The frequency with which there are icons on screen that you can't hover over for a tooltip is way too high. Far too much of the information requires holding additional buttons CTRL or ALT to access stuff which isn't always accessible depending on what screen or event you're on. The games ability to present information during the natural flow of gameplay is poor. 

Skill unlocks are slow going and make it impossible to evaluate characters or comps early on. Nor is there a way I've found to determine in game what order you unlock things or even what you unlock until you've committed to a shrine. Having an endless list of things that require candles but having little way of determining what should or should not be prioritized because it's all obfuscated is a major complaint. A prime offender I found was the class paths. Switching from Wanderer to Confessor for the first time. It simply says ""Rank Flexible roll that specializes in debuff and token removal."" It's just flavor text to give you a vague idea of what it does instead of simply presenting you with the changes. They've bothered to add a list of the skills effected by the path but not to add tool tips to view the changes and evaluate before purchase. All trinkets and items have been relegated to individual unlock. No indication if it's ordered progression or just random.

The presentation is a step up. The game does look better and I found myself enjoying the 3d transition far more than expected as my initial reaction to it was rather negative. The animations as characters move between ranks to be an excellent addition that brings life to the combat.

The actual combat remains mostly the same as DD1. Debuffs no longer last for some amount of time but instead are consumed when they are rolled for. Blind for instance gives you a 50% chance to miss on your next attack and will stick around until you make an attack so you can't just wait it out by using support skills and I've enjoyed the change. Stress is triggers affliction or virtue at 10 and resets instead of trigger at 100 and heart attack at 200.  Instead of having a myriad of different affects for Afflictions and Virtues we now only get good or bad. You either lose a bunch of health and get negative relationship points or you get a big heal and gain relationship points. So far I've found the relationship system to be pretty obnoxious with little way of interacting with it. Hopefully that changes later in the game as more items/trinkets are unlocked to interact with relationship points. 

Overall I'm pretty unhappy with most out of combat changes and the relationship system. I'd have much preferred they stick to the format that made DD1 so successful and continue to build on that. I think the Hades approach has detracted from what made the first one special.",0
0,138235684,1940340,"Very fun, less grind than DD1 and every run is a new challenge. High recommend if you like roguelikes",1
0,138235305,1940340,beats me down just as much as the first game,1
0,138235164,1940340,"(300+ hours on DD1)

This isn't a game-play sequel, this is a story sequel.

The combat has been updated and improved since DD1. The new game-play loop is both more engaging AND rewarding. losses aren't the same, but having a party member die is still devastating at times.

The candle system is basic, but passable. 

I'm highly enjoying the game.",1
0,138235085,1940340,"Hi there,
as many of you i am a great fan of the first game.
As many of you, i immediately felt something is off in this second chapter.
While in the first game you had to slowly build your town and your heroes to eventually enter the final dungeon, in DD2 you just embark on an expedition with 4 characters, and once that expedition is over, you go for the next one.
You dont' get to keep your heroes, you dont' get to keep any trinkets, you don't keep anything. After finishing a run (either beating the boss or team whipe) you get an amount of candles that you can spend to make your future runs easier.
This is still something, as it gives some sense of satisfaction, but after a dozen of runs it already started to feel annoying.
One of the best aspect of the first game was the care and attention you needed to give to your characters: you had your favourites one, with their perks you spent hours and gold to get, with your preferred trinkets choice. It was a great feeling venturing forth with your veterans knowing that yes, with them you had a slight edge on enemies, but things could still end up in disaster. All this feeling is now gone: sometimes if a run is disappointing me (i.e. bad perks, bad relationship) i just find  it's better to end it there. I get my candles, i start a new one and hope for the best. I think this defies the very essence of the 1st game, where no matter what you struggled to get the best ouf of every dungeon expedition, because you spent gold, time, resources on that run and on those caracters.
The graphic is now good, but i find this game as A LOT of dead moments: the combat animations takes so long, riding the carriage is pointless because you just have to press W and wait for the next encounter.
The core gameplay is still solid: combat is fun and brutal
Art direction is still on point, but even in this case something is off: it's weird that every run has the same scenarios put together in a random order. It makes it seems like there's no real sense around the story: what are theese scenarios? Why the city is in flame? Why the hell am i going toward the mountain?
I'm playing the game, i think it's ok, but the price was too high (even with the discount, i feel 30 bucks for a downgrade of the 1st game is way too much).
I feel like the devs tried to make this more appealing to a larger fane base: i hope this will give them the means to make something great in the future, but i also feel like the original fanbase was a bit ignored.
If you are new to DD, maybe this could be a good way to start getting involved. Other than that, play the first one.
",0
0,138234829,1940340,Pretty good,1
0,138234617,1940340,great game,1
0,138234564,1940340,Damn they weren't wrong. This Dungeon was pretty Dark 2.,1
0,138234491,1940340,"For me, it's harder than DD1 (30 hours )
Gameplay: fun and interesting 
Graphic and sound effects: great 

WELL DONE DD2 !!!!",1
0,138236569,1159690,"I find it very exhausting to always have to gather loot and smelt everything, then use the research table to make a blueprint and after, gather the rescourses and build it. This game have A LOT to craft and most of this becomes more and more expensive. I have spent most of my time really only smelting and gathering loot rather than do whats really fun, fighting and building my own custom train. 

My train right now is just a long organized ''mess'' because the storage chest are very small and the bigger ones are more expensive and kinda not really worth it in my opinion. You also need to have the different worktables, smelters, labs in each stage. You can't remove smelter 1 and only use 2. Thats what I thought because it would make sense to make that better and faster, but not really, it is just another smelter that let you smelt something different that you would later need.

So right now, I can play the game in 20-30 minutes intervalls because I get so exhausted always have to loot, smelt, wait, craft, research, wait, craft and boom. The engine is also very expensive and does not go fast for a long time. Also everything gets damaged very fast and some are a bit too expensive to repair. 

The winch system with the hooks could be more frequent and faster, now it feels ''blocky'' and kinda off. I was kinda hoping for a seamless spiderman feel but it feels more of something thats really not finish.

The game is quite okay and a lowkey meh, in my opinion. I see a lot of potential in this game but right now it is more boring and meh faster than actually fun, it is just too much to do and craft for a very long period.

Right now the game is more suitable for multiplayer than singleplayer.
Would I recommend this game to other players? I would say yes and no, it really depends. I couldn't leave something in the middle so I went with yes, I can really tell that they have been working hard on this game.",1
0,138234967,1159690,It is a great game to play with friends. Has some grind but gets better as you go. Very atmospheric. There are some bugs since it just came out but the devs are on it.,1
0,138234759,1159690,"4 hours in and I'm having more fun than in most survival games I've played. The multiplayer and epic games linking have issues, but the devs seem to be patching fast.

The graphics are good
The narrator and story are interesting.
The gameplay is fun and engaging.
World and creatures are cool.
Gunplay and combat is a little lacking, it feels clunky, and so does the UI around combat and enemies. Devs have already made a note to improve it, and it's honestly not a deal-breaker.

As it stands, the bugs and clunky gunplay hinder what is an otherwise entertaining and new take on survival games. Nevertheless, it's still enjoyable and feels fresh!
 7/10
",1
0,138237020,1230170,"Loved the game. Really fun, relaxing experience. Only issue is the lack of hands when firing and reloading in the gun range. 9.0/10",1
0,138234931,1230170,"Blicky Build Simulator

After a long wait, the best Gunsmith game appears!



",1
0,138234685,1230170,"This game is going to be amazing, if, and depending on, how order generation is going to work and how many weapons there are going to be in the full release!

The demo itself was super fun, I really enjoyed it.

I always enjoyed disassembling and re-assembling things. And this is just like a dream game in that regards.

Gun customization and part manufacturing was fun, too! And on top of all, it even has a shooting range with several modes.

I really cannot wait for this game. 10/10 for a demo. Will see how it looks when it comes out.",1
0,138236620,758690,The game needs som more work but I like the game it is fun to be able to craft some items and some you need to find in abandon bases. Dont like the moment but can live with it. have played the game for 12 h. and still think it is fun.,1
0,138236111,758690,"This game is brutal. Throws you right into the fire, the tutorials don't show you much. I died because I couldn't figure out how to power my suit and my first sleep in the game there was a meteor shower that destroyed my base before I could even figure out the first few missions. Not to mention the performance and optimization is abysmal. I can play plenty of other better looking games fine and this one lags so bad even on medium to low graphic settings. Get your act together. This game is hardly worth it in its current state.",0
0,138234507,758690,"The performance is really bad & i wonder why, it already looks like a game from 2010, there should be no problems with decent setups",0
0,138236863,669330,Great Autobattler!,1
0,138237152,2369390,"The good : It's better than the horrible FC5 and New Dawn.
The bad : it's still only mediocre and suffers from bad balancing. 

Constant animal attacks interrupt everything (while setting up an ambush on a base I got attacked by no less than 12 alligators. Even when you shoot them with a silencer it still alerts all guards. Happened 4 times in 10 hours of gameplay so far.)
Combat is boring. The game doesn't like stealth/sniping, as it tries very hard to make it as frustrating as possible. All too often, it ends in bang-boom-bang-explosions-everywhere. The available weapons are very much geared towards that. Which means that 80/90% of them are plain useless for a sniper.

As usually there are way too many and too long cutscenes, but that's just FC.

I recommend getting it on a big discount only.",1
0,138237113,2369390,Even the Chicken Man hates the Epic store.,1
0,138236955,2369390,"Why though? It's good to find a formula people recognize and enjoy. It's good to create a somewhat new storyline and concept to be the backing to all the gaming going on. It's good to try to innovate new ideas into your game. ...But which one of you mooks said, 'You know what this game needs? No healing items! We'll just make it so the player can only heal over time, and has to regnerate their heal charges, which will be all sorts of over the top animations, like using pliers to rip the fresh slugs from their flesh!'? Who said, 'You know those jetski races we had? You know what they need? MINES IN THE WATER. And you know what else? Lets retool the way they handle to be twice as slippery as before, steer from the back instead of the front, and only either be full throttle or barely moving! Egh? EGH?!' Who felt the game shouldn't start at the beginning, and instead require you to play through an extra long introductory cutscene before the game started... and then give you absolutely everything everywhere to do at once? Who's ideas were these? BECAUSE THEY'RE HORRIBLE IDEAS. 
As soon as I reached the 'beginning' of the game, I was buried in stuff and lost. I had races against time; except they had enemy troops at the end after beating them that then swarmed me to death, resetting it all. I had missions come up as I was trying to return to the starting point (why didn't you just allow someone doing this quest to restart at the starting point? Why some random, far off location that was almost guaranteed to pull them off and sidetrack them?) and then those missions escalated to the point of me having to lay hidden in a bush from special forces for 20 minutes (I wasn't going to do the mission; I just peeked in the seemingly empty area, only for it to explode with enemies, and helicopters and snipers with perfect aim who were also completely in cover).
I admit that maybe I was a little tired as I played, but I was having decent fun playing the beginning. Then suddenly I couldn't find any focus; not the main thread of the story, not hunting, not farming resources, NOTHING... because every time I turned around once and tried to focus, my radio would go off again. 'Can you do THIS!? Can you do THAT?! I know I gave you five freakin other starter missions that are going to require you to liberate the entire map... but can ya?!' The 'race' was the icing that made me write this negative review cake though. I made the first few turns, and was wondering where the mines were as I coasted through. Then I realized ALL of those yellow orbs in the water were mines. ALL of them. Where the hell did they get all those mines?! And they all one shot you too! So if you make one mistakes, race over, start from the beginning? Aw, HEELLLL naw!
The game, on the surface, is fun. I LOVED Far Cry Primal and Far Cry New Sawn, and was eager for more in a new world, with maybe some new story and cutscenes. And now I'm going to have to teach myself to not look away from the main quests or I'm going to regret it.Or is it maybe stop trying to look at the main quests?  There comes a point in a game where just layering the difficulty does nothing for the game, and this feels like that; like the devs or producers tried to cram all the MORE into the game, and left it almost too full of things that need doing.",0
0,138236725,2369390,"Its a good game but why do all recent Ubisoft games look like blurry dog shit? This, Far Cry 5, AC Valhalla. So damn blurry.

Also sucked in to anyone who preordered for full price only for Ubisoft to go 75% off on release day.",1
0,138236644,2369390,Your brain when you buy a farcry game. Did I ever tell you what the definition of insanity is? Insanity is doing the exact... same fucking thing... over and over again expecting... shit to change,1
0,138236553,2369390,Nice,1
0,138236185,2369390,"This is a good game: you will see glitches/bugs time to time but it doesn't make the game bad. The map is VERY large you will find a lot of enemy's everywhere even sometimes trying to execute people (which you can stop) there are checkpoints you can invade and even just driving around the game you can find a enemy or something to do. The story is a 7/10 and is it worth 60 USD nah maybe a bit less but it's stll a good game 
8/10 (A GOOD FAR CRY GAME)",1
0,138236109,2369390,They probably thought using Giancarlo Esposito as an actor is enough for this garbage. I was able to endure it for just 96 minutes. This game has no soul. It is a total disaster. There is nothing that bounds the player to the storyline. It feels like a bad imitation of Just Cause series. Atleast Just Cause was fun to play.,0
0,138235678,2369390,"One of the stupeiest waste of time and money in my life
- very poor plot
- unbelivable sputid quests and side missions as well as main story
- unreal stpiest AI - no interest and chalange on maximun (joke) difficulty
- no progression & skills
- poor graphics 
- poor animations
- alot of bugs
- trash & quickie can be characteristic to almost any game component",0
